name,address,categories,category_ids,city,description,distance,foursquare_id,hours,instagram_url,is_nightlife,last_fsq_refresh,lat,lng,place_id,popularity,price_level,rating,social_media,state,summary,tips,types,website
Star Leaf – Asian Fusion Bar & Grille,"641 E Colorado Blvd, Pasadena, CA 91101, USA","Coffee Shop, Restaurant","13065, 13035",Los Angeles,,700,5fb86804510818706b1fbc33,"{'tuesday': '11:00\u202fAM\u2009–\u20099:30\u202fPM', 'monday': '11:00\u202fAM\u2009–\u20099:30\u202fPM', 'sunday': '11:00\u202fAM\u2009–\u20099:30\u202fPM', 'friday': '11:00\u202fAM\u2009–\u200910:00\u202fPM', 'saturday': '11:00\u202fAM\u2009–\u200910:00\u202fPM', 'wednesday': '11:00\u202fAM\u2009–\u20099:30\u202fPM', 'thursday': '11:00\u202fAM\u2009–\u20099:30\u202fPM'}",https://www.instagram.com/starleafusa/,False,2025-05-11 23:59:28.214662+00:00,34.1461807,-118.1371414,ChIJH2h9jgTDwoARASXsuxeS-6s,,3,4.1,{},CA,A Coffee Shop and Restaurant in downtown LA.,Great little coffee shop just opened on Lake & Union! | get the sea salt caramel latte (hot or cold). limited indoor seating but more outside. didn’t check outlet situation but could be good work spot. small parking lot but street availability not too bad,"restaurant, bar, point_of_interest, food, establishment",https://www.starleafusa.com/menus
East Grand Bar & Grille,"1985 E Grand Ave, El Segundo, CA 90245, USA","Sports Bar, American Restaurant, Steakhouse","13068, 13022, 13383",Los Angeles,,1602,4bd305ed41b9ef3bf40effe5,"{'tuesday': '6:00\u2009–\u200910:00\u202fAM, 4:00\u2009–\u200910:00\u202fPM', 'monday': '6:00\u2009–\u200910:00\u202fAM, 4:00\u2009–\u200910:00\u202fPM', 'sunday': '6:00\u2009–\u200910:00\u202fAM, 4:00\u2009–\u200910:00\u202fPM', 'friday': '6:00\u2009–\u200910:00\u202fAM, 4:00\u2009–\u200910:00\u202fPM', 'saturday': '6:00\u2009–\u200910:00\u202fAM, 4:00\u2009–\u200910:00\u202fPM', 'wednesday': '6:00\u2009–\u200910:00\u202fAM, 4:00\u202fPM\u2009–\u200912:00\u202fAM', 'thursday': '12:00\u2009–\u200910:00\u202fAM, 4:00\u2009–\u200910:00\u202fPM'}",,False,2025-05-11 23:55:19.711317+00:00,33.919769,-118.391737,ChIJH5RrwbK2woARSkOHQmMe7aU,,,3.9,{},CA,"Relaxed hotel spot serving beer, wine & an American menu with California-inspired seafood dishes.",,"bar, restaurant, food, point_of_interest, establishment",
El Tenampa Bar,"8002 Seville Ave, Huntington Park, CA 90255, USA","Night Club, Sports Bar, Mexican Restaurant","10032, 13022, 13303",Los Angeles,,2841,4f32c0db19836c91c7f6c649,"{'tuesday': '2:00\u202fPM\u2009–\u200912:00\u202fAM', 'monday': '2:00\u202fPM\u2009–\u200912:00\u202fAM', 'sunday': '2:00\u202fPM\u2009–\u20092:00\u202fAM', 'friday': '2:00\u202fPM\u2009–\u200912:00\u202fAM', 'saturday': '2:00\u202fPM\u2009–\u200912:00\u202fAM', 'wednesday': '2:00\u202fPM\u2009–\u200912:00\u202fAM', 'thursday': '2:00\u202fPM\u2009–\u200912:00\u202fAM'}",,False,2025-05-11 23:56:27.334072+00:00,33.9654427,-118.2222918,ChIJH8TNHUTJwoAR7NXeCb79zkA,,,4.2,{},CA,"A Night Club, Sports Bar, and more in downtown LA.",,"night_club, bar, point_of_interest, establishment",
The Bungalow Santa Monica,"101 Wilshire Blvd, Santa Monica, CA 90401, USA",Lounge,13016,Los Angeles,,0,a5478f91355c024a05d76d11,"{'tuesday': 'Closed', 'monday': 'Closed', 'sunday': '2:00\u2009–\u200910:00\u202fPM', 'friday': '5:00\u202fPM\u2009–\u20092:00\u202fAM', 'saturday': '2:00\u202fPM\u2009–\u20092:00\u202fAM', 'wednesday': '5:00\u202fPM\u2009–\u200912:00\u202fAM', 'thursday': '5:00\u202fPM\u2009–\u20092:00\u202fAM'}",,False,2025-05-12 00:41:42.315348+00:00,34.01745700000001,-118.501492,ChIJHRAmNsSkwoARWsE8WVQPhcw,,3,4.3,{},CA,"Sprawling, retro-style space with a handsome bar, a surf-themed billiards room, a patio & more.",,"bar, night_club, point_of_interest, establishment",http://www.thebungalow.com/
Cabo Cantina,"30 Washington Blvd, Marina Del Rey, CA 90292, USA","Sports Bar, Mexican Restaurant","13022, 13303",Los Angeles,,708,4ae493a2f964a520da9b21e3,"{'tuesday': '11:30\u202fAM\u2009–\u200912:00\u202fAM', 'monday': '11:30\u202fAM\u2009–\u200912:00\u202fAM', 'sunday': '11:30\u202fAM\u2009–\u200912:00\u202fAM', 'friday': '11:30\u202fAM\u2009–\u20091:00\u202fAM', 'saturday': '11:30\u202fAM\u2009–\u20091:00\u202fAM', 'wednesday': '11:30\u202fAM\u2009–\u200912:00\u202fAM', 'thursday': '11:30\u202fAM\u2009–\u200912:00\u202fAM'}",https://www.instagram.com/cabocantina,False,2025-05-11 23:42:02.459885+00:00,33.9793861,-118.4658583,ChIJHS0bQI66woARjL5I73m_T5I,,2,4.1,{},CA,"Relaxed local chain with Mexican fare & margaritas, plus multiple TVs & live sports screenings.","Upgrade your margarita to one of the 36oz mega margaritas and watch a football game in one of the many TVs around the bar. Like how they actually play sports commentary rather than music. | Upstairs is the best spot. T.V.'s, open air, beach views! Get the burrito & drink special! To for one sucks! It only applies to one drink, don't let them try to pull a quick one on you! Nice views! 👍 | I had the best eggs scramble with fresh avocado, jalapeños, etc. Enjoyed it and service was great.","bar, restaurant, food, point_of_interest, establishment",http://www.cabocantina.com/
The Wolves,"519 S Spring St, Los Angeles, CA 90013, USA","Cocktail Bar, American Restaurant","13009, 13068",Los Angeles,,0,5b985a723731ee002c772ed3,"{'tuesday': 'Closed', 'monday': '7:00\u202fPM\u2009–\u20091:00\u202fAM', 'sunday': '5:00\u202fPM\u2009–\u200912:00\u202fAM', 'friday': '5:00\u202fPM\u2009–\u20092:00\u202fAM', 'saturday': '5:00\u202fPM\u2009–\u20092:00\u202fAM', 'wednesday': 'Closed', 'thursday': '5:00\u202fPM\u2009–\u200912:00\u202fAM'}",https://www.instagram.com/thewolvesdtla/,False,,34.0470331,-118.250239,ChIJHSnDjErGwoARZz9rmSQ8ZsQ,,,4.6,{},CA,"Glamorous venue with antique decor & 1910s accents, serving innovative cocktails & American fare.",Drinks maybe | Kitchen closes at 11PM. | I had high expectations. Good cocktails but odd menu (eg fried onion rings). Can’t tell if they’re getting on the speakeasy trend super late or they’re on a new wave. Everything a bit off,"bar, point_of_interest, establishment",http://www.thewolvesdtla.com/
VIP LOUNGE ONEWORLD,"Los Angeles, CA 90045, USA",Airport Lounge,19035,Los Angeles,,1576,4b039d4bf964a520e54f22e3,,,False,2025-05-11 23:55:56.826610+00:00,33.9433786,-118.4102103,ChIJHX5Q64yxwoARlCeygbDoPFY,,,3.9,{},CA,A Airport Lounge in downtown LA.,"Absolutely gorgeous, also compared to the LH lounges in Frankfurt. This Star Alliance Lounge is outstanding: New and nice furniture, a great lounge outside (don't miss it). Try the Asia food corner. | Awesome lounge! Great food spreads, diverse seating areas, and peace & quiet. I just wish they didn’t announce that my flight was boarding a solid 30+ mins before it actually started... | Good Spacious Lounge with area some nice drinks. Probably the second best lounge after Turkish Airlines Lounge in Istanbul Airport. Turkish is far better though, incomparably better …","night_club, bar, point_of_interest, establishment",
Bar Siesta,"1710 Silver Lake Blvd, Los Angeles, CA 90026, USA",Seafood Restaurant,13338,Los Angeles,,1035,4f1df344e5e82f0d0f2bff3c,"{'tuesday': 'Closed', 'monday': '12:00\u2009–\u200910:00\u202fPM', 'sunday': '12:00\u2009–\u200910:00\u202fPM', 'friday': '12:00\u2009–\u200911:00\u202fPM', 'saturday': '12:00\u2009–\u200911:00\u202fPM', 'wednesday': 'Closed', 'thursday': '12:00\u2009–\u200910:00\u202fPM'}",http://instagram.com/bar_siesta_la,False,2025-05-11 23:53:44.420233+00:00,34.0894372,-118.2681188,ChIJHY55ZcfHwoAR82z4nxOn0_Y,,,4.7,{},CA,A Seafood Restaurant in downtown LA.,"A project by Dustin Lancaster and Matt Kaner of Bar Covell, the cozy, hip oyster bar offers a limited menu of seafood plus a well-curated selection of boutique wines and craft beer. [Eater 38 Member] | This new hotspot in Silver Lake is located in the same cozy space that formerly housed the Italian restaurants Michelangelo and Domenico. | AW:  oysters, smoked mussels with chorizo toast, ridiculously good clam chowder, this is still one of the best places in the city to order a glass of truly excellent rosé on a warm summer evening","grocery_or_supermarket, bar, restaurant, food, store, point_of_interest, establishment",https://barsiesta.co/
Sara The Wine Bar & Restaurant,"3936 Sepulveda Blvd, Culver City, CA 90230, USA","Wine Bar, Italian Restaurant, New American Restaurant","13025, 13314, 13236",Los Angeles,,2164,541d0515498ea5e5369d8298,"{'tuesday': '5:00\u2009–\u20099:00\u202fPM', 'monday': 'Closed', 'sunday': '5:00\u2009–\u20098:30\u202fPM', 'friday': '5:00\u2009–\u20099:30\u202fPM', 'saturday': '5:00\u2009–\u20099:30\u202fPM', 'wednesday': '5:00\u2009–\u20099:00\u202fPM', 'thursday': '5:00\u2009–\u20099:00\u202fPM'}",https://www.instagram.com/sarathewinebar/,False,2025-05-11 23:44:39.910156+00:00,34.0103723,-118.4148738,ChIJH_P5VgK6woARvFg6AT41tcw,,2,4.6,{},CA,Wine bar pouring a long list of vino by the glass and serving a short list of Italian small plates.,"The house red is delicious and the price is just right. The caprese skewers are a lovely snack plate or a meal for yourself.  Amazing food,  wine,  and staff! | Love the wine here! Let them tell you about the wine and pick a selection meant for your taste buds. You won't regret it! | a great vibe/ the ultimate low-key hangout spot... can get lively with the older gentlemen there, but in a good way... the songs they play are classic R&B .. i love this place","restaurant, bar, food, point_of_interest, establishment",http://www.sarathewinebar.com/
COCO BEACH SPORTS BAR & GRILL,"404 Washington Blvd, Marina Del Rey, CA 90292, USA",Restaurant,13065,Los Angeles,,0,a0e1ce36aa67e77c04c3375d,"{'tuesday': '12:00\u2009–\u200910:00\u202fPM', 'monday': '12:00\u2009–\u200910:00\u202fPM', 'sunday': '10:00\u202fAM\u2009–\u200910:00\u202fPM', 'friday': '12:00\u2009–\u200911:00\u202fPM', 'saturday': '12:00\u2009–\u200911:00\u202fPM', 'wednesday': '12:00\u2009–\u200910:00\u202fPM', 'thursday': '12:00\u2009–\u200910:00\u202fPM'}",https://www.instagram.com/cocobeachbbq,False,2025-05-12 00:42:14.239951+00:00,33.9809732,-118.4630924,ChIJHbN8B5a7woARlzlyeXwFiVA,,2,4.2,{},CA,A Restaurant in downtown LA.,,"night_club, bar, restaurant, point_of_interest, food, establishment",https://cocobeachmdr.com/
Sinners y Santos,"1254 S Figueroa St 8th Floor, Los Angeles, CA 90015, USA","American Restaurant, Sports Bar","13068, 13022",Los Angeles,,0,49f8d830f964a5202c6d1fe3,"{'tuesday': 'Closed', 'monday': 'Closed', 'sunday': '10:00\u202fPM\u2009–\u20092:00\u202fAM', 'friday': '10:00\u202fPM\u2009–\u20092:00\u202fAM', 'saturday': '10:00\u202fPM\u2009–\u20092:00\u202fAM', 'wednesday': 'Closed', 'thursday': '10:00\u202fPM\u2009–\u20092:00\u202fAM'}",https://www.instagram.com/sinnersysantos,False,,34.0408887,-118.2672895,ChIJHc7CHqfHwoARn9KYQ9HP1uA,,,3.9,{},CA,A American Restaurant and Sports Bar in downtown LA.,"A chain with locations in Pasadena, Northridge, Long Beach & downtown at L.A. Live with a corporate vibe, but when it comes to craft beer happy hours, it makes the cut! Mon-Fri, 3-6pm Sun-Wed, 10-mid. | The Yardhouse is my favorite corporate restaurant. This one is the one I go to the most. I love the BBQ Chicken Pizza and Calamari and virgin drinks. The staff is very accommodating. | DTLA location has a lot of local craft beer, as well as some out of state gems. Hoptologist and Curieux was pouring well. Hummus is plenty for a meal. Largest outdoor patio that I have ever seen.","night_club, point_of_interest, establishment",https://sinnersysantosdtla.com/
The Cat & Fiddle Pub & Restaurant,"742 Highland Ave, West Hollywood, CA 90038, USA","Pub, Gastropub, American Restaurant","13057, 13018, 13068",Los Angeles,,0,58cca04e6ad5a131a771af25,"{'tuesday': '12:00\u2009–\u200911:00\u202fPM', 'monday': '12:00\u2009–\u200911:00\u202fPM', 'sunday': '11:00\u202fAM\u2009–\u200911:00\u202fPM', 'friday': '12:00\u2009–\u200911:00\u202fPM', 'saturday': '11:00\u202fAM\u2009–\u200911:00\u202fPM', 'wednesday': '12:00\u2009–\u200911:00\u202fPM', 'thursday': '12:00\u2009–\u200911:00\u202fPM'}",https://www.instagram.com/thecatandfiddle/,False,2025-05-12 00:44:29.416808+00:00,34.0847455,-118.3384097,ChIJHdvykzq_woARuqOJmCZ0vOU,,2,4.5,{},CA,"Classic pub grub in a punk rock-influenced British bar, reborn from its original Hollywood location.","I highly recommend the Scotch Egg and a pint of dry English style cider! | The address is 742 N. Highland Ave. in Hollywood, just north of Melrose. Enter through the back alley. | Not as pub-like as the last location, the menu and drinks are still great though. I need to go back to try the house cider","bar, restaurant, food, point_of_interest, establishment",https://www.thecatandfiddle.com/
Snake Pit Alehouse Whiskey Bar & Kitchen,"7529 Melrose Ave, Los Angeles, CA 90046, USA","Burger Joint, Pizzeria, American Restaurant","13064, 13068, 13031",Los Angeles,,2290,5a4fd3ed5f68b95208131d83,"{'tuesday': '3:00\u202fPM\u2009–\u200912:00\u202fAM', 'monday': '12:00\u202fAM\u2009–\u200912:00\u202fPM, 3:00\u202fPM\u2009–\u200912:00\u202fAM', 'sunday': '1:00\u202fPM\u2009–\u200912:00\u202fAM', 'friday': '3:00\u202fPM\u2009–\u20092:00\u202fAM', 'saturday': '3:00\u202fPM\u2009–\u20092:00\u202fAM', 'wednesday': '3:00\u202fPM\u2009–\u200912:00\u202fAM', 'thursday': '3:00\u202fPM\u2009–\u200912:00\u202fAM'}",,False,2025-05-11 23:45:22.084946+00:00,34.08383449999999,-118.3541232,ChIJHyESCNO-woARFPm71YB7Uo0,,1,4.4,{},CA,"Stalwart watering hole offering pub grub, a wide range of beers & more in rustic, brick-walled digs.","Another treasure I've unearthed in my explorations. I freaking love this place.  Magnificent Whiskey/y cocktails. A very impressive booze collection. Great staff. Delicious food. 5 Martinis Rating! | Def good vobes, travelling from NorCal super nice bartendar (lady) and the brews are gkkd too * Alaskan White (refreshing) & Sculpin (Hoppy IPA)* | That taco deal is no longer in circulation. But the drink specials are amazing. Happy Hour is 3pm to 8pm. Shot and a beer is only 8 frackin bucks.","bar, restaurant, food, point_of_interest, establishment",
Franco's Bar,"1905 Nadeau St, Los Angeles, CA 90001, USA","Bar, BBQ Joint","13026, 13003",Los Angeles,,2460,06df2b2fa2ce46710e7bd2a9,,,False,2025-05-11 23:56:23.247288+00:00,33.9675905,-118.2387262,ChIJIQhH2xLJwoARkMJYuzqbsFk,,,4.1,{},CA,A Bar and BBQ Joint in downtown LA.,,"bar, point_of_interest, establishment",
Pharaoh Karaoke Lounge,"3680 Wilshire Blvd B-02, Los Angeles, CA 90010, USA","Karaoke Bar, Lounge, Pizzeria","13016, 13064, 13015",Los Angeles,,0,531c216211d2230de3058f98,"{'tuesday': '6:00\u202fPM\u2009–\u20092:00\u202fAM', 'monday': '6:00\u202fPM\u2009–\u20092:00\u202fAM', 'sunday': '6:00\u202fPM\u2009–\u20092:00\u202fAM', 'friday': '6:00\u202fPM\u2009–\u20092:00\u202fAM', 'saturday': '6:00\u202fPM\u2009–\u20092:00\u202fAM', 'wednesday': '6:00\u202fPM\u2009–\u20092:00\u202fAM', 'thursday': '6:00\u202fPM\u2009–\u20092:00\u202fAM'}",,False,,34.0612885,-118.3062336,ChIJIR0wvYS4woARsjKbpxFKVlM,,,3.7,{},CA,"Modern karaoke bar with 17 private rooms, plus snacks such as pizza & kimchi fried rice.",This place is fabulous! The ambience is great here and staff is very friendly. It's a great place to hang out with your friends and have a couple of hours of good clean fun singing your heart out~~!! | Compated to NYC? This place is garbage | Decent selection of songs. Very large rooms.,"point_of_interest, establishment",http://www.pharaohkaraoke.com/
Noe Restaurant & Bar,"251 S Olive St, Los Angeles, CA 90012, USA","American Restaurant, French Restaurant","13068, 13148",Los Angeles,,952,4a7e6011f964a520d4f11fe3,"{'tuesday': '5:00\u2009–\u200911:00\u202fPM', 'monday': '5:00\u2009–\u200911:00\u202fPM', 'sunday': '5:00\u2009–\u200911:00\u202fPM', 'friday': '5:00\u2009–\u200911:00\u202fPM', 'saturday': '5:00\u2009–\u200911:00\u202fPM', 'wednesday': '5:00\u2009–\u200911:00\u202fPM', 'thursday': '5:00\u2009–\u200911:00\u202fPM'}",https://www.instagram.com/omnihotels/,False,2025-05-11 23:49:43.125195+00:00,34.0526033,-118.2505193,ChIJITjJkkzGwoARXjwnGgDxtyw,,3,4.2,{},CA,"Classy, pre-theater option serving creative, Japanese-influenced local meals, plus a late-night bar.","Ribeye is perfect. Lobster carbonara was satisfying and very filling. Coffee was a delicious surprise. | Their popcorn chicken w/ honey mustard is delicious. A must have with an ice cold beer | This is one of the few great LA restaurants where you can impress a date by asking to meet the chef, telling him what amazes you, then indulging on the culinary creation he creates.","bar, restaurant, food, point_of_interest, establishment",https://www.omnihotels.com/hotels/los-angeles-california-plaza/dining/noe-restaurant
Break Room 86,"630 S Ardmore Ave, Los Angeles, CA 90010, USA","Karaoke Bar, Lounge, Speakeasy","13016, 13021, 13015",Los Angeles,,0,550798de498e36719a25668f,"{'tuesday': '9:00\u202fPM\u2009–\u20092:00\u202fAM', 'monday': 'Closed', 'sunday': 'Closed', 'friday': '9:00\u202fPM\u2009–\u20092:00\u202fAM', 'saturday': '9:00\u202fPM\u2009–\u20092:00\u202fAM', 'wednesday': '9:00\u202fPM\u2009–\u20092:00\u202fAM', 'thursday': '9:00\u202fPM\u2009–\u20092:00\u202fAM'}",http://www.instagram.com/breakroom86,False,,34.0622322,-118.3013432,ChIJIaFl64K4woARfY6BevmwIQg,,2,4.3,{},CA,"Often packed, this lively venue offers cocktails & karaoke with a trendy vibe.","Break Room 86 is a magical and straight-up cool bar where you enter through a retro vending machine and get transported to the '80s. The cocktails are new spins on colorful and sweet throwbacks. | Today's journey into time is Break Room 86. Loving the 80s music and distinct cocktails. There's karaoke and video games to play 👾🎤 a place you will definitely come back to! | Come early to get drinks and play with Pac-Man at the arcade! Such a great place to hangout. Before you leave, go outside and get an alcoholic sandwich.","bar, point_of_interest, establishment",http://www.breakroom86.com/
Bar 1200,"1200 Alta Loma Rd, West Hollywood, CA 90069, USA","Hotel Bar, Lounge, Restaurant","13016, 13065, 13013",Los Angeles,,1489,4b61259bf964a520250b2ae3,"{'tuesday': '8:00\u202fPM\u2009–\u20092:00\u202fAM', 'monday': '8:00\u202fPM\u2009–\u20092:00\u202fAM', 'sunday': '8:00\u202fPM\u2009–\u20092:00\u202fAM', 'friday': '8:00\u202fPM\u2009–\u20092:00\u202fAM', 'saturday': '8:00\u202fPM\u2009–\u20092:00\u202fAM', 'wednesday': '8:00\u202fPM\u2009–\u20092:00\u202fAM', 'thursday': '8:00\u202fPM\u2009–\u20092:00\u202fAM'}",https://www.instagram.com/sunsetmarquis/,False,2025-05-11 23:47:23.928436+00:00,34.09227189999999,-118.3775666,ChIJIb8VQry-woAR27kU61BqE8o,,4,4.6,{},CA,"Snug, leather-accented bar in the Sunset Marquis hotel offering upscale craft cocktails.","We simply appreciate a cool den to have a drink, and this bar provides the perfect dark, intimate setting to sink into. Just be prepared to pay a pricey valet charge if you’re not local. Rock on. | a place to see the rock stars hang | I got a Lazy Daisy - it was delicious!","bar, night_club, point_of_interest, establishment",https://sunsetmarquis.com/bar-1200/
Brewport Tap House & Kitchen,"204 Main St, El Segundo, CA 90245, USA","Beer Bar, Gastropub, American Restaurant","13057, 13068, 13006",Los Angeles,,1763,58ae084a8927fd7e622755fe,"{'tuesday': '11:00\u202fAM\u2009–\u200910:00\u202fPM', 'monday': '11:00\u202fAM\u2009–\u20099:00\u202fPM', 'sunday': '10:00\u202fAM\u2009–\u20099:00\u202fPM', 'friday': '11:00\u202fAM\u2009–\u200911:00\u202fPM', 'saturday': '11:00\u202fAM\u2009–\u200911:00\u202fPM', 'wednesday': '11:00\u202fAM\u2009–\u200910:00\u202fPM', 'thursday': '11:00\u202fAM\u2009–\u200910:00\u202fPM'}",http://instagram.com/brewporttaphouse,False,2025-05-11 23:55:22.053432+00:00,33.91805009999999,-118.4157387,ChIJIeoj5UGxwoARSTMfq90lmGY,,2,4.6,{},CA,"An extensive selection of pour-your-own craft beers & other drinks, as well as New American eats.","Craft beer selection is great, but pour-as-you-go adds up very quickly. Not necessarily worth the premium price. | Get a taster! Will also give you a practice run on the taps—it comes out fast! Amazing selection. | Great selection of mostly local craft beers","bar, restaurant, food, point_of_interest, establishment",http://www.brewporttaphouse.com/
Nandarang Restaurant & Bar,"3815 W 6th St, Los Angeles, CA 90020, USA","BBQ Joint, Korean BBQ Restaurant","13026, 13294",Los Angeles,,263,4c00d9439cf52d7f636714e7,"{'tuesday': '11:00\u202fAM\u2009–\u20092:00\u202fAM', 'monday': '11:00\u202fAM\u2009–\u20091:00\u202fAM', 'sunday': '11:00\u202fAM\u2009–\u20092:00\u202fAM', 'friday': '11:00\u202fAM\u2009–\u20092:00\u202fAM', 'saturday': '11:00\u202fAM\u2009–\u20092:00\u202fAM', 'wednesday': '11:00\u202fAM\u2009–\u20092:00\u202fAM', 'thursday': '11:00\u202fAM\u2009–\u20092:00\u202fAM'}",https://www.instagram.com/NandarangLA/,False,2025-05-12 00:56:52.121377+00:00,34.06383119999999,-118.3059253,ChIJJ1eeRJu4woARNjF9a9mqY9Q,,2,4.1,{},CA,A BBQ Joint and Korean BBQ Restaurant in downtown LA.,"My favorite Korean BBQ spot!!!! Great customer service and yummy sides. Only thing I don't like is how popular this location has gotten, because the wait time when I like to go is a hour or so 🙄. | The bomb! I think it's that stone pot that you cook the stuff in that makes their food taste better. The meat they use is also pretty good. The service is awesome! Highly recommended. | If u get here during weekend, best to get here prior to 6:00 PM.  Great all u can eat rates, friendly staff, awesome brisket & marinated short ribs, and convenient parking system ($2.00 valet).","bar, restaurant, food, point_of_interest, establishment",http://nandarangla.com/
SUR Restaurant and Lounge,"606-614 N Robertson Blvd, West Hollywood, CA 90069, USA","French Restaurant, Mediterranean Restaurant, New American Restaurant","13314, 13148, 13302",Los Angeles,,2395,4c53b825479fc928da82ef91,"{'tuesday': '5:00\u2009–\u200910:00\u202fPM', 'monday': 'Closed', 'sunday': '11:00\u202fAM\u2009–\u200911:00\u202fPM', 'friday': '5:00\u202fPM\u2009–\u200912:00\u202fAM', 'saturday': '11:00\u202fAM\u2009–\u20091:00\u202fAM', 'wednesday': '5:00\u2009–\u200910:00\u202fPM', 'thursday': '5:00\u2009–\u200911:00\u202fPM'}",https://instagram.com/surrules/,False,2025-05-11 23:47:21.840247+00:00,34.0812288,-118.3853088,ChIJJQulGK--woARyBtfGuqLB88,,3,4.2,{},CA,Upscale global cuisine & cocktails are served at this trendy venue with a patio & chic decor.,"This place has excellent service and just love the ambiance. I brought my wife here for her birthday she was so happy with how the place looked and loved all the candles in the restaurant. Food was A+ | First time here, and lo and behold, they're filming season 5. The staff is so attentive, the drinks are amazing, and the ambience is beyond mentioning. | Amazing food. Amazing ambient. Try the Seared Tuna, delicious! Great drinks. Very cool place. When you finish eating try the lounge beside the restaurant!","night_club, bar, restaurant, food, point_of_interest, establishment",http://www.surrestaurant.com/
Library Bar,"630 W 6th St suite 116 a, Los Angeles, CA 90017, USA","Cocktail Bar, Lounge, Beer Bar","13016, 13009, 13006",Los Angeles,,1282,49e0a52df964a5205a611fe3,"{'tuesday': '3:00\u202fPM\u2009–\u200912:00\u202fAM', 'monday': '3:00\u2009–\u200910:00\u202fPM', 'sunday': '3:00\u2009–\u200910:00\u202fPM', 'friday': '3:00\u202fPM\u2009–\u20092:00\u202fAM', 'saturday': '3:00\u202fPM\u2009–\u20092:00\u202fAM', 'wednesday': '3:00\u202fPM\u2009–\u200912:00\u202fAM', 'thursday': '3:00\u202fPM\u2009–\u20091:00\u202fAM'}",https://www.instagram.com/librarybarla/,False,2025-05-11 23:49:08.123738+00:00,34.0491361,-118.2564556,ChIJJSOuYrTHwoARTMd9zqezC_Q,,2,4.3,{},CA,Handcrafted cocktails & gastropub bites in a cozy setting with book-lined walls & leather couches.,"Perfect spot to catch up with friends over a tasty cocktail with author-themed names, my favorite, the Hemingway Daiquiri. Books will surround you, the place lives up to the name! Crowded at night. | It's been a while but I love their pork belly skewers and sandwich, parmesan fries, and their birthday cake shot with sugared lemon! Never had the burger but everyone says it's bomb! | A nice, tiny and loudly place to go for drinks in DTLA. Too bad I missed the Happy Hour but I'm glad I ordered the french fries with my negroni. Soo good!","bar, night_club, restaurant, food, point_of_interest, establishment",http://librarybarla.com/
Grandmaster Recorders,"1518 N Cahuenga Blvd, Los Angeles, CA 90028, USA","Movie Theater, Cocktail Bar, Italian Restaurant","10024, 13009, 13236",Los Angeles,,0,52f81b5e498e063becfa020c,"{'tuesday': '5:00\u2009–\u200910:00\u202fPM', 'monday': 'Closed', 'sunday': 'Closed', 'friday': '5:00\u2009–\u200910:00\u202fPM', 'saturday': '5:00\u2009–\u200910:00\u202fPM', 'wednesday': '5:00\u2009–\u200910:00\u202fPM', 'thursday': '5:00\u2009–\u200910:00\u202fPM'}",https://www.instagram.com/GRANDMASTER_RECORDERS/,False,2025-05-12 00:45:21.750721+00:00,34.0986271,-118.3291615,ChIJJUJEGTq_woARZvcUXEP1nVc,,2,4.3,{},CA,"Italian-Australian fare served in a trendy restaurant/bar set in a former, iconic recording studio.","Had the pappardelle and it was fantastic! Cool place to have drinks and eat, would go back next time we are in LA! | Raviiiiiiishing food and vibe ❤️ | Pappardelle","restaurant, night_club, bar, food, point_of_interest, establishment",https://www.grandmasterrecorders.com/
The Love Song Bar,"450 Main St, Los Angeles, CA 90013, USA",Bar,13003,Los Angeles,,479,546d6b91498eef03ca168a17,,,False,2025-05-11 23:50:07.527992+00:00,34.0470379,-118.247999,ChIJJV1_EkrGwoARvj3I4zlbyMA,,,4.6,{},CA,Cozy lounge offering up signature cocktails & live music in a subdued space with eclectic decor.,"Great selection of local brews on tap, #happyhour $5! And they're playing vinyl ! | Great spot to catch a drink. Has a little forced Williamsburg effect, but comes along with excellent drinks. | Nice intimate bar in the speak easy fashion spinning vinyl and serving a host of modernized classics","bar, restaurant, food, point_of_interest, establishment",http://www.instagram.com/thelovesongbar
Employees Only Restaurant and Bar,"7953 Santa Monica Blvd, West Hollywood, CA 90046, USA","Cocktail Bar, Speakeasy, American Restaurant","13009, 13068, 13021",Los Angeles,,0,5a70c20460d11b2a4c094b66,"{'tuesday': '6:00\u202fPM\u2009–\u20092:00\u202fAM', 'monday': 'Closed', 'sunday': '6:00\u202fPM\u2009–\u20092:00\u202fAM', 'friday': '6:00\u202fPM\u2009–\u20092:00\u202fAM', 'saturday': '6:00\u202fPM\u2009–\u20092:00\u202fAM', 'wednesday': '6:00\u202fPM\u2009–\u20092:00\u202fAM', 'thursday': '6:00\u202fPM\u2009–\u20092:00\u202fAM'}",https://www.instagram.com/employeesonlyla/,False,,34.09095819999999,-118.3632083,ChIJJadp28W-woAR4e8gNp9hqZI,,2,4.4,{},CA,"Inventive drinks are poured at this retro-looking, Prohibition-style bar.","Great cocktails, friendly and helpful staff. Good late night snack is the pizza, it was simply amazing! | Not to hard to get a seat at the bar if you’re solo on a slow night. Otherwise make a reservation for back bar seating. | Great COVID conversion. Turf, picnic tables, umbrellas, strung lights! Rotating kitchen so worth checking if required to order food by law. I ordered Amelia. It was fantastic and not too sweet.","bar, night_club, restaurant, food, point_of_interest, establishment",http://www.employeesonlyla.com/
